,STATE,STATEABBRV,COUNTY,POPULATION,RISK_VALUE,RISK_SCORE,RISK_RATNG,RISK_SPCTL,RESL_VALUE,RESL_SCORE,RESL_RATNG,RESL_SPCTL,COUNTY_Name,Access to Exercise Opportunities,Food Environment Index,Primary Care Physicians,Air Pollution: Particulate Matter,Broadband Access,Life Expectancy,Traffic Volume,Homeownership,Access to Parks,Average Temperature F,Maximum Temperature F,Minimum Temperature F,Precipitation_inches,median_sale_price,median_list_price,median_ppsf,homes_sold,new_listings,inventory,months_of_supply,median_dom_months,Unemployment_Rate,crime_rate_per_100000,Family,Monthly_Housing,Monthly_Food,Monthly_Transportation,Monthly_Healthcare,Monthly_Other Necessities ,Monthly_Childcare,Monthly_Taxes,Monthly_Total,ranking_score,RISK_RATNG_score,RESL_RATNG_score,rank
106,ARIZONA,AZ,MARICOPA,0.441627769,0.966001751,0.026734564,Relatively High,0,0.587124576,0.298500004,Relatively Low,0.866139657,MARICOPA,0.927618578,0.83,0.120441643,0.701058201,0.846991343,0.583764444,0.860794539,0.667585573,0.563970512,0.911073826,0.953703704,0.793220339,0.019702512,0.121309886,0.103014661,0.038538142,1,1,1,0.95959596,0.968716289,0.817647059,0.76625091,2p1c,0.615735909,0.833333297,0.445763609,0.86746408,0.624120041,0.630749155,0.780607316,0.723143999,0.656551096,1,1,1
537,GEORGIA,GA,TOWNS,0.001240699,0.999685829,0.890515595,Very Low,0.865040893,0.630258908,0.429000015,Relatively Moderate,0.734804982,TOWNS,1,0.78,0.093654366,0.865079365,0.759761348,0.541247819,0.992023176,0.821797089,0.964700232,0.666107383,0.677469136,0.6,0.272031212,0.100504183,0.092304268,0.032329561,0.004755736,0.005991499,0.008292189,0.939393939,0.966990291,0.770588235,0.920644112,2p1c,0.901167418,0.86821703,0.385452531,0.887677689,0.894344984,0.879700092,0.915369339,0.971116744,0.653231447,1,1,2
560,HAWAII,HI,KALAWAO,1.79898E-06,0.999999907,0.999681731,Very Low,0.803162055,0.911588359,0.993600006,Very High,1,KALAWAO,1,0.83,0,0.931216931,0.912354312,0.694761136,0.994650759,0,1,,,,,0.225710633,0.191551559,0.10144059,0.033893493,0.036232373,0.061983344,0.944444444,0.941316073,0.841176471,1,2p1c,0.668553045,0.455426372,0.342829405,0.769398943,0.563986811,0.712087797,0.610399318,0.630903788,0.644509763,1,1,3
2747,TEXAS,TX,SOMERVELL,0.000913284,0.999320748,0.696053469,Very Low,0.735177866,0.740056162,0.769899979,Relatively High,0.988142292,SOMERVELL,0.791634981,0.85,0.127341851,0.825396825,0.780221426,0.564720698,0.989720666,0.840909448,0.224225964,0.848993289,0.841049383,0.793220339,0.209948793,0.101305788,0.104780449,0.027937876,0.001703547,0.001713784,0.002810302,0.929292929,0.933764833,0.805882353,0.96709239,2p1c,0.865621212,0.897286794,0.348159444,0.716375963,0.870267105,0.749716841,0.941033477,0.898179292,0.644496796,1,1,4
2301,PENNSYLVANIA,PA,MONTOUR,0.001802982,0.99980281,0.941438574,Very Low,0.929030736,0.938232569,0.997099991,Very High,1,MONTOUR,0.60399206,0.86,1,0.812169312,0.721640305,0.585373191,0.945444151,0.688706193,0.039975739,0.567114094,0.575617284,0.515254237,0.185125579,0.064156497,0.053895982,0.020602733,0.00278601,0.002887794,0.00336517,0.949494949,0.954261057,0.858823529,0.843259602,2p1c,0.846568446,0.860465149,0.367287651,0.713889608,0.842345591,0.73408869,0.841979796,0.854562766,0.643063521,1,1,5
1821,NEW MEXICO,NM,LOSALAMOS,0.001934407,0.999673715,0.885423297,Very Low,0.821415738,0.863011796,0.977099991,Very High,1,LOS ALAMOS,0.992687574,0.93,0.267341656,0.904761905,0.896673943,0.720666887,0.994813483,0.765478585,0.877130645,0.515100671,0.577160494,0.408474576,0.085881492,0.155385841,0.119122562,0.044310491,0.005163878,0.004426152,0.001721117,0.98989899,0.996548004,0.905882353,0.807901502,2p1c,0.765238726,0.732558154,0.341334314,0.479643851,0.731545991,0.701957981,0.74085937,0.71351498,0.643043628,1,1,6
1961,NORTH CAROLINA,NC,MITCHELL,0.001482363,0.999689741,0.892743475,Very Low,0.963794466,0.648201452,0.479000015,Relatively Moderate,0.618498024,MITCHELL,1,0.76,0.08058544,0.896825397,0.623442081,0.499007911,0.993960764,0.796524979,1,0.583892617,0.592592593,0.527118644,0.259595221,0.071997249,0.063623232,0.026310455,0.001969727,0.002550435,0.004664999,0.909090909,0.928802589,0.805882353,0.992564872,2p1c,0.909414138,0.905038751,0.356474754,0.689040549,0.912414562,0.913848222,0.905565567,0.950837376,0.639176148,1,1,7
622,ILLINOIS,IL,COOK,0.526973465,0.86567068,0.003819223,Very High,0,0.724836417,0.725699997,Relatively High,0.340540959,COOK,0.990517371,0.87,0.157867401,0.748677249,0.79162104,0.581774253,0.790991544,0.590537688,0.952696036,0.597315436,0.591049383,0.557627119,0.167861497,0.084117348,0.068114776,0.031501163,0.930278778,0.869644423,0.833786304,0.96969697,0.966127292,0.758823529,0.660008065,2p1c,0.67428108,0.738372018,0.598753483,0.882651447,0.650285421,0.676639835,0.741680435,0.76649377,0.636933322,1,1,8
1341,MINNESOTA,MN,COOK,0.000552288,0.999914785,0.982176957,Very Low,0.9808732,0.858486145,0.975800018,Very High,0.734587252,COOK,0.885357143,0.84,0.276003968,0.965608466,0.84788604,0.72096701,0.992674798,0.817676306,0.468571429,0.36409396,0.37962963,0.318644068,0.147281151,0.120314958,0.098868407,0.051093368,0.00033716,0.000242899,0.000277434,0.95959596,0.944983819,0.805882353,0.978083532,2p1c,0.895480025,0.817829459,0.195864501,0.809104655,0.874721514,0.685826796,0.831604333,0.846476525,0.636834308,1,1,9
2059,OHIO,OH,AUGLAIZE,0.004630884,0.99945267,0.767982177,Very Low,0.810007186,0.855082894,0.973899994,Very High,0.954365792,AUGLAIZE,0.773340227,0.87,0.059732438,0.830687831,0.761301819,0.562189691,0.983254154,0.779172242,0.444724484,0.604026846,0.601851852,0.559322034,0.168300415,0.048517982,0.039744374,0.01827323,0.007044878,0.00596451,0.00479344,0.97979798,0.971952535,0.864705882,0.97766353,2p1c,0.90827666,0.85465118,0.316594402,0.677701611,0.896939304,0.751919954,0.892259437,0.890049242,0.636754394,1,1,10
